,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
950636,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y_GE100,100 anni e più,99,totale,2019,2019,14132,,
939879,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y99,99 anni,99,totale,2019,2019,8985,,
927888,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y98,98 anni,99,totale,2019,2019,19650,,
917436,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y97,97 anni,99,totale,2019,2019,28842,,
910039,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y96,96 anni,99,totale,2019,2019,39836,,
896532,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y95,95 anni,99,totale,2019,2019,54883,,
886070,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y94,94 anni,99,totale,2019,2019,71496,,
875628,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y93,93 anni,99,totale,2019,2019,92323,,
870595,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y92,92 anni,99,totale,2019,2019,116481,,
854714,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y91,91 anni,99,totale,2019,2019,145270,,
844339,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y90,90 anni,99,totale,2019,2019,173875,,
40140,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y9,9 anni,99,totale,2019,2019,563046,,
835975,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y89,89 anni,99,totale,2019,2019,204776,,
823368,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y88,88 anni,99,totale,2019,2019,254237,,
812906,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y87,87 anni,99,totale,2019,2019,273375,,
802464,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y86,86 anni,99,totale,2019,2019,300229,,
798789,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y85,85 anni,99,totale,2019,2019,335183,,
781681,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y84,84 anni,99,totale,2019,2019,369736,,
773262,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y83,83 anni,99,totale,2019,2019,403674,,
760656,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y82,82 anni,99,totale,2019,2019,414713,,
750204,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y81,81 anni,99,totale,2019,2019,460163,,
745838,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y80,80 anni,99,totale,2019,2019,514429,,
39676,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y8,8 anni,99,totale,2019,2019,553691,,
729300,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y79,79 anni,99,totale,2019,2019,545322,,
720027,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y78,78 anni,99,totale,2019,2019,567636,,
708396,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y77,77 anni,99,totale,2019,2019,525763,,
697944,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y76,76 anni,99,totale,2019,2019,531505,,
688702,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y75,75 anni,99,totale,2019,2019,542572,,
683298,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y74,74 anni,99,totale,2019,2019,544806,,
666588,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y73,73 anni,99,totale,2019,2019,535439,,
661440,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y72,72 anni,99,totale,2019,2019,700442,,
654862,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y71,71 anni,99,totale,2019,2019,706643,,
636686,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y70,70 anni,99,totale,2019,2019,728090,,
35142,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y7,7 anni,99,totale,2019,2019,537809,,
624770,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y69,69 anni,99,totale,2019,2019,702312,,
614328,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y68,68 anni,99,totale,2019,2019,701821,,
607248,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y67,67 anni,99,totale,2019,2019,680430,,
599798,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y66,66 anni,99,totale,2019,2019,685459,,
582972,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y65,65 anni,99,totale,2019,2019,698687,,
573505,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y64,64 anni,99,totale,2019,2019,734624,,
562068,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y63,63 anni,99,totale,2019,2019,747881,,
561720,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y62,62 anni,99,totale,2019,2019,764192,,
543880,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y61,61 anni,99,totale,2019,2019,781577,,
530712,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y60,60 anni,99,totale,2019,2019,790780,,
30258,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y6,6 anni,99,totale,2019,2019,529609,,
520240,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y59,59 anni,99,totale,2019,2019,828928,,
509808,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y58,58 anni,99,totale,2019,2019,850679,,
505056,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y57,57 anni,99,totale,2019,2019,879334,,
492143,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y56,56 anni,99,totale,2019,2019,898112,,
478447,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y55,55 anni,99,totale,2019,2019,930364,,
468000,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y54,54 anni,99,totale,2019,2019,992363,,
457538,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y53,53 anni,99,totale,2019,2019,980231,,
457351,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y52,52 anni,99,totale,2019,2019,983002,,
436644,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y51,51 anni,99,totale,2019,2019,974426,,
431501,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y50,50 anni,99,totale,2019,2019,970952,,
22532,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y5,5 anni,99,totale,2019,2019,507118,,
415863,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y49,49 anni,99,totale,2019,2019,977845,,
403676,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y48,48 anni,99,totale,2019,2019,952392,,
393188,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y47,47 anni,99,totale,2019,2019,960873,,
414092,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y46,46 anni,99,totale,2019,2019,951644,,
375194,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y45,45 anni,99,totale,2019,2019,942526,,
363480,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y44,44 anni,99,totale,2019,2019,948308,,
353028,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y43,43 anni,99,totale,2019,2019,911068,,
344687,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y42,42 anni,99,totale,2019,2019,870585,,
332114,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y41,41 anni,99,totale,2019,2019,833979,,
323532,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y40,40 anni,99,totale,2019,2019,808091,,
19013,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y4,4 anni,99,totale,2019,2019,498240,,
311220,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y39,39 anni,99,totale,2019,2019,767068,,
304658,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y38,38 anni,99,totale,2019,2019,743989,,
290285,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y37,37 anni,99,totale,2019,2019,725890,,
279864,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y36,36 anni,99,totale,2019,2019,720821,,
269412,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y35,35 anni,99,totale,2019,2019,696965,,
262376,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y34,34 anni,99,totale,2019,2019,684894,,
248508,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y33,33 anni,99,totale,2019,2019,672536,,
239850,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y32,32 anni,99,totale,2019,2019,652430,,
237235,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y31,31 anni,99,totale,2019,2019,648958,,
226538,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y30,30 anni,99,totale,2019,2019,661682,,
13477,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y3,3 anni,99,totale,2019,2019,482946,,
207257,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y29,29 anni,99,totale,2019,2019,646532,,
196248,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y28,28 anni,99,totale,2019,2019,647713,,
185770,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y27,27 anni,99,totale,2019,2019,634599,,
184283,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y26,26 anni,99,totale,2019,2019,636390,,
164892,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y25,25 anni,99,totale,2019,2019,610365,,
154440,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y24,24 anni,99,totale,2019,2019,597963,,
145507,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y23,23 anni,99,totale,2019,2019,590504,,
133536,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y22,22 anni,99,totale,2019,2019,591595,,
123084,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y21,21 anni,99,totale,2019,2019,590127,,
112622,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y20,20 anni,99,totale,2019,2019,592118,,
11942,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y2,2 anni,99,totale,2019,2019,470813,,
102180,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y19,19 anni,99,totale,2019,2019,585535,,
99305,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y18,18 anni,99,totale,2019,2019,586873,,
81276,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y17,17 anni,99,totale,2019,2019,570790,,
70824,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y16,16 anni,99,totale,2019,2019,563617,,
66357,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y15,15 anni,99,totale,2019,2019,566861,,
62892,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y14,14 anni,99,totale,2019,2019,571168,,
61700,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y13,13 anni,99,totale,2019,2019,565035,,
53064,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y12,12 anni,99,totale,2019,2019,568576,,
50711,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y11,11 anni,99,totale,2019,2019,567812,,
48077,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y10,10 anni,99,totale,2019,2019,569271,,
6156,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y1,1 anni,99,totale,2019,2019,455746,,
27,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,Y0,0 anni,99,totale,2019,2019,431007,,
959244,IT,Italia,JAN,popolazione al 1º gennaio,9,totale,TOTAL,totale,99,totale,2019,2019,59816673,,
950610,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y_GE100,100 anni e più,99,totale,2019,2019,11957,,
939853,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y99,99 anni,99,totale,2019,2019,7369,,
927862,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y98,98 anni,99,totale,2019,2019,15821,,
917410,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y97,97 anni,99,totale,2019,2019,22901,,
906953,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y96,96 anni,99,totale,2019,2019,31075,,
896506,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y95,95 anni,99,totale,2019,2019,41874,,
886049,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y94,94 anni,99,totale,2019,2019,53762,,
875602,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y93,93 anni,99,totale,2019,2019,68264,,
870569,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y92,92 anni,99,totale,2019,2019,84147,,
854693,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y91,91 anni,99,totale,2019,2019,102465,,
844313,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y90,90 anni,99,totale,2019,2019,119934,,
41887,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y9,9 anni,99,totale,2019,2019,273327,,
837844,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y89,89 anni,99,totale,2019,2019,137574,,
823342,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y88,88 anni,99,totale,2019,2019,167490,,
812885,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y87,87 anni,99,totale,2019,2019,175587,,
802438,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y86,86 anni,99,totale,2019,2019,189589,,
791976,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y85,85 anni,99,totale,2019,2019,206790,,
781655,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y84,84 anni,99,totale,2019,2019,224338,,
772788,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y83,83 anni,99,totale,2019,2019,240485,,
760630,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y82,82 anni,99,totale,2019,2019,244166,,
750178,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y81,81 anni,99,totale,2019,2019,265955,,
745812,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y80,80 anni,99,totale,2019,2019,293682,,
38164,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y8,8 anni,99,totale,2019,2019,268440,,
729274,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y79,79 anni,99,totale,2019,2019,307068,,
720001,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y78,78 anni,99,totale,2019,2019,317534,,
708370,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y77,77 anni,99,totale,2019,2019,291653,,
697918,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y76,76 anni,99,totale,2019,2019,292150,,
687451,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y75,75 anni,99,totale,2019,2019,296099,,
683282,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y74,74 anni,99,totale,2019,2019,294077,,
666562,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y73,73 anni,99,totale,2019,2019,286936,,
661414,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y72,72 anni,99,totale,2019,2019,373031,,
654836,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y71,71 anni,99,totale,2019,2019,373966,,
636660,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y70,70 anni,99,totale,2019,2019,384579,,
35198,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y7,7 anni,99,totale,2019,2019,261137,,
624744,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y69,69 anni,99,totale,2019,2019,369230,,
614302,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y68,68 anni,99,totale,2019,2019,368268,,
607222,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y67,67 anni,99,totale,2019,2019,356386,,
599787,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y66,66 anni,99,totale,2019,2019,358334,,
582946,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y65,65 anni,99,totale,2019,2019,363608,,
572484,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y64,64 anni,99,totale,2019,2019,383041,,
562042,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y63,63 anni,99,totale,2019,2019,388661,,
551585,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y62,62 anni,99,totale,2019,2019,396279,,
543854,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y61,61 anni,99,totale,2019,2019,404686,,
530686,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y60,60 anni,99,totale,2019,2019,409121,,
27090,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y6,6 anni,99,totale,2019,2019,257211,,
520219,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y59,59 anni,99,totale,2019,2019,426948,,
509782,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y58,58 anni,99,totale,2019,2019,437639,,
505030,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y57,57 anni,99,totale,2019,2019,451673,,
492117,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y56,56 anni,99,totale,2019,2019,460125,,
478421,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y55,55 anni,99,totale,2019,2019,475227,,
